ID_Registro;Fecha;Año;Mes_Num;Mes;Trimestre;Región;Ciudad;Tipo_Institución;Institución;Canal;Línea_Terapéutica;Producto;Fabricante;Unidad_Medida;Requiere_Receta;Unidades;Precio_Unitario_USD;Costo_Unitario_USD;Descuento_Pct;Lead_Time_Días;Inventario_Días;Devolución_Pct;Pacientes_Impactados;Urgencia_Abasto;Ventas_Brutas_USD;Monto_Descuento_USD;Ventas_Netas_USD;Costo_Total_USD;Utilidad_Bruta_USD;Margen_Bruto_Pct;Devoluciones_Unidades;Riesgo_Stockout
RX-00001;2025-06-15 00:00:00;2025;6;Jun;T2;Sur;Pasto;Cadena de Farmacias;Farmatodo;Retail;Dolor y cuidado primario;Ibuprofeno 400mg;Vitalis;caja;No;27;6,07;2,85;0,0282;3;24;0,007;46;Baja;163,89;4,621698;159,268302;76,95;82,318302;0,516853014;0;0,129375
RX-00002;2025-07-07 00:00:00;2025;7;Jul;T3;Occidente;Pereira;Hospital;Clínica Comfamiliar Risaralda;Institucional;Antiinfecciosos;Amoxicilina 500mg;Sanofi;caja;Sí;45;7,93;4,14;0,0798;5;38;0,0077;38;Baja;356,85;28,47663;328,37337;186,3;142,07337;0,432658014;0;0,136644737
RX-00003;2025-05-04 00:00:00;2025;5;May;T2;Norte;Santa Marta;Hospital;Hospital Universitario Julio Méndez Barreneche;Institucional;Salud digestiva;Lactulosa Jarabe;Sanofi;frasco;No;26;12,04;6,38;0,1048;5;29;0,0161;28;Baja;313,04;32,806592;280,233408;165,88;114,353408;0,408064866;0;0,186293103
RX-00004;2025-11-18 00:00:00;2025;11;Nov;T4;Occidente;Medellín;Cadena de Farmacias;Droguerías Colsubsidio;Retail;Cardiometabólico;Losartán 50mg;Sanofi;caja;Sí;11;7,99;4,73;0,0472;4;30;0,0069;8;Baja;87,89;4,148408;83,741592;52,03;31,711592;0,378683892;0;0,137933333
RX-00005;2025-01-24 00:00:00;2025;1;Jan;T1;Occidente;Medellín;Clínica;Hospital Pablo Tobón Uribe;Institucional;Oncología;Rituximab;Procaps;vial;Sí;1;920,99;804,44;0,1165;4;39;0,0073;1;Baja;920,99;107,295335;813,694665;804,44;9,254665;0,011373634;0;0,106307692
RX-00006;2025-06-07 00:00:00;2025;6;Jun;T2;Occidente;Pereira;Hospital;Hospital Universitario San Jorge;Institucional;Antiinfecciosos;Amoxicilina 500mg;Sanofi;caja;Sí;52;8,76;4,02;0,0418;6;34;0,0154;56;Baja;455,52;19,040736;436,479264;209,04;227,439264;0,521076905;1;0,190058824
RX-00007;2025-10-16 00:00:00;2025;10;Oct;T4;Norte;Barranquilla;Clínica;Hospital Universitario del Norte;Institucional;Dolor y cuidado primario;Acetaminofén 500mg;Vitalis;caja;No;31;4,92;2,37;0,0585;6;31;0,0128;56;Baja;152,52;8,92242;143,59758;73,47;70,12758;0,488361851;0;0,205935484
RX-00008;2025-10-27 00:00:00;2025;10;Oct;T4;Sur;Pasto;Clínica;Hospital Universitario Departamental de Nariño;Institucional;Dolor y cuidado primario;Ibuprofeno 400mg;Vitalis;caja;No;17;6,57;2,77;0,0631;5;22;0,0034;25;Baja;111,69;7,047639;104,642361;47,09;57,552361;0,54999104;0;0,231136364
RX-00009;2025-02-11 00:00:00;2025;2;Feb;T1;Occidente;Pereira;Clínica;Hospital Universitario San Jorge;Institucional;Dolor y cuidado primario;Acetaminofén 500mg;Vitalis;caja;No;17;5,37;2,37;0,0816;8;44;0,0071;31;Baja;91,29;7,449264;83,840736;40,29;43,550736;0,519446012;0;0,188272727
RX-00010;2025-11-08 00:00:00;2025;11;Nov;T4;Sur;Cali;Clínica;Clínica Imbanaco;Institucional;Dolor y cuidado primario;Ibuprofeno 400mg;Vitalis;caja;No;41;5,95;2,87;0,1015;5;26;0,0098;70;Baja;243,95;24,760925;219,189075;117,67;101,519075;0,46315755;0;0,201730769
RX-00011;2025-09-08 00:00:00;2025;9;Sep;T3;Centro;Tunja;Hospital;Clínica Medilaser Tunja;Institucional;Antiinfecciosos;Ceftriaxona 1g;Tecnoquímicas;frasco;Sí;22;19,28;12,1;0,1029;6;36;0,0107;18;Baja;424,16;43,646064;380,513936;266,2;114,313936;0,300419841;0;0,175583333
RX-00012;2025-11-01 00:00:00;2025;11;Nov;T4;Occidente;Bello;Hospital;Hospital Marco Fidel Suárez;Institucional;Salud digestiva;Sucralfato;Genfar;caja;No;8;11,03;6,03;0,0973;6;38;0,0033;8;Baja;88,24;8,585752;79,654248;48,24;31,414248;0,394382582;0;0,1605
RX-00013;2025-12-23 00:00:00;2025;12;Dec;T4;Occidente;Medellín;Cadena de Farmacias;Droguerías Colsubsidio;Retail;Vacunas;Vacuna VPH;Laboratorios MK;dosis;Sí;1;120,84;80,2;0,0505;4;18;0,0149;1;Baja;120,84;6,10242;114,73758;80,2;34,53758;0,30101367;0;0,238777778
RX-00014;2025-05-26 00:00:00;2025;5;May;T2;Oriente;Villavicencio;Clínica;Clínica Meta;Institucional;Antiinfecciosos;Amoxicilina 500mg;Sanofi;caja;Sí;19;7,73;4,25;0,0958;6;22;0,0087;16;Baja;146,87;14,070146;132,799854;80,75;52,049854;0,391942103;0;0,284590909
RX-00015;2025-09-10 00:00:00;2025;9;Sep;T3;Norte;Santa Marta;Hospital;Hospital Universitario Julio Méndez Barreneche;Institucional;Antiinfecciosos;Oseltamivir 75mg;Procaps;caja;Sí;15;34,63;23,83;0,1086;5;23;0,0072;14;Baja;519,45;56,41227;463,03773;357,45;105,58773;0,22803267;0;0,225217391
RX-00016;2025-02-11 00:00:00;2025;2;Feb;T1;Norte;Santa Marta;Cadena de Farmacias;Drogas La Rebaja;Retail;Dolor y cuidado primario;Omeprazol 20mg;Procaps;caja;No;24;7,4;3,92;0,0473;4;32;0,0151;32;Baja;177,6;8,40048;169,19952;94,08;75,11952;0,443970054;0;0,1344375
RX-00017;2025-05-23 00:00:00;2025;5;May;T2;Oriente;Cúcuta;Cadena de Farmacias;Droguerías Audifarma;Retail;Salud digestiva;Probiótico 10B;Genfar;caja;No;7;14,55;9,27;0,0212;2;46;0,0205;8;Baja;101,85;2,15922;99,69078;64,89;34,80078;0,349087248;0;0,047934783
RX-00018;2025-02-12 00:00:00;2025;2;Feb;T1;Norte;Barranquilla;Cadena de Farmacias;Farmatodo;Retail;Antiinfecciosos;Azitromicina 500mg;Tecnoquímicas;caja;Sí;22;12,53;6,21;0,0213;2;22;0,0107;20;Baja;275,66;5,871558;269,788442;136,62;133,168442;0,493603214;0;0,095772727
RX-00019;2025-05-15 00:00:00;2025;5;May;T2;Centro;Bogotá;Clínica;Fundación Santa Fe de Bogotá;Institucional;Vacunas;Vacuna Neumococo;Laboratorios MK;dosis;Sí;6;65,28;42,14;0,1064;9;20;0,014;6;Baja;391,68;41,674752;350,005248;252,84;97,165248;0,277610832;0;0,4815
RX-00020;2025-12-20 00:00:00;2025;12;Dec;T4;Sur;Neiva;Cadena de Farmacias;Droguerías Cafam;Retail;Antiinfecciosos;Oseltamivir 75mg;Procaps;caja;Sí;18;36,19;24,54;0,0327;3;34;0,0167;16;Baja;651,42;21,301434;630,118566;441,72;188,398566;0,298989073;0;0,095602941
RX-00021;2025-07-23 00:00:00;2025;7;Jul;T3;Centro;Bogotá;Clínica;Fundación Santa Fe de Bogotá;Institucional;Cardiometabólico;Atorvastatina 20mg;Procaps;caja;Sí;10;17,78;10,08;0,0786;7;24;0,0075;8;Baja;177,8;13,97508;163,82492;100,8;63,02492;0,384708993;0;0,302604167
RX-00022;2025-04-17 00:00:00;2025;4;Apr;T2;Centro;Bogotá;Clínica;Hospital Universitario San Ignacio;Institucional;Cardiometabólico;Losartán 50mg;Sanofi;caja;Sí;46;9,62;4,67;0,0839;4;19;0,0106;37;Baja;442,52;37,127428;405,392572;214,82;190,572572;0,470093892;0;0,221684211
RX-00023;2025-10-02 00:00:00;2025;10;Oct;T4;Norte;Santa Marta;Cadena de Farmacias;Cruz Verde;Retail;Salud digestiva;Lactulosa Jarabe;Sanofi;frasco;No;16;11,73;7,11;0,0441;2;33;0,0108;19;Baja;187,68;8,276688;179,403312;113,76;65,643312;0,365897994;0;0,063878788
RX-00024;2025-07-12 00:00:00;2025;7;Jul;T3;Norte;Santa Marta;Distribuidor;Coopidrogas;Mayorista;Antiinfecciosos;Amoxicilina 500mg;Sanofi;caja;Sí;43;7,16;4,31;0,1341;7;28;0,0121;51;Alta;307,88;41,286708;266,593292;185,33;81,263292;0,304821218;1;0,265125
RX-00025;2025-09-07 00:00:00;2025;9;Sep;T3;Sur;Pasto;Clínica;Hospital Infantil Los Ángeles;Institucional;Cardiometabólico;Atorvastatina 20mg;Procaps;caja;Sí;24;18,98;9,87;0,091;4;21;0,0126;16;Baja;455,52;41,45232;414,06768;236,88;177,18768;0,42791961;0;0,20247619
RX-00026;2025-06-25 00:00:00;2025;6;Jun;T2;Oriente;Cúcuta;Distribuidor;Disfarma;Mayorista;Oncología;Trastuzumab;Procaps;vial;Sí;1;1292,14;1054,77;0,1305;11;52;0,0047;1;Alta;1292,14;168,62427;1123,51573;1054,77;68,74573;0,061188044;0;0,216509615
RX-00027;2025-07-05 00:00:00;2025;7;Jul;T3;Norte;Cartagena;Distribuidor;Coopidrogas;Mayorista;Salud digestiva;Probiótico 10B;Genfar;caja;No;27;14,86;9,16;0,116;6;39;0,008;38;Baja;401,22;46,54152;354,67848;247,32;107,35848;0,302692399;0;0,16
RX-00028;2025-12-23 00:00:00;2025;12;Dec;T4;Sur;Neiva;Clínica;Hospital Universitario Hernando Moncaleano Perdomo;Institucional;Antiinfecciosos;Azitromicina 500mg;Tecnoquímicas;caja;Sí;12;13,77;6,53;0,0859;7;41;0,0066;13;Alta;165,24;14,194116;151,045884;78,36;72,685884;0,481217244;0;0,176365854
RX-00029;2025-09-30 00:00:00;2025;9;Sep;T3;Occidente;Pereira;Clínica;Clínica Comfamiliar Risaralda;Institucional;Vacunas;Vacuna Influenza;Laboratorios MK;dosis;Sí;23;27,81;15,71;0,1091;6;38;0,0063;22;Baja;639,63;69,783633;569,846367;361,33;208,516367;0,365916814;0;0,162868421
RX-00030;2025-07-25 00:00:00;2025;7;Jul;T3;Oriente;Bucaramanga;Hospital;Hospital Universitario de Santander;Institucional;Antiinfecciosos;Amoxicilina 500mg;Sanofi;caja;Sí;26;7,46;4,19;0,0902;4;27;0,0081;29;;193,96;17,495192;176,464808;108,94;67,524808;0,382653112;0;0,154148148
RX-00031;2025-01-15 00:00:00;2025;1;Jan;T1;Oriente;Cúcuta;Hospital;Clínica Medical Duarte;Institucional;Antiinfecciosos;Ceftriaxona 1g;Tecnoquímicas;frasco;Sí;13;18,6;11,79;0,0987;6;18;0,0095;14;Baja;241,8;23,86566;217,93434;153,27;64,66434;0,296714781;0;0,349166667
RX-00032;2025-07-06 00:00:00;2025;7;Jul;T3;Norte;Barranquilla;Hospital;Hospital General de Barranquilla;Institucional;Respiratorio;Budesonida Nebulizable;Genfar;caja;Sí;13;16,37;9,3;0,0905;4;22;0,008;14;Baja;212,81;19,259305;193,550695;120,9;72,650695;0,375357448;0;0,189090909
RX-00033;2025-11-16 00:00:00;2025;11;Nov;T4;Sur;Neiva;Distribuidor;Droguerías Cafam;Mayorista;Salud digestiva;Sucralfato;Genfar;caja;No;122;10,64;6,01;0,1219;5;28;0,0033;148;Baja;1298,08;158,235952;1139,844048;733,22;406,624048;0,356736563;0;0,181517857
RX-00034;2025-11-26 00:00:00;2025;11;Nov;T4;Norte;Cartagena;Hospital;Clínica General del Caribe;Institucional;Dolor y cuidado primario;Ibuprofeno 400mg;Vitalis;caja;No;19;6,17;2,79;0,0871;3;21;0,0115;30;Baja;117,23;10,210733;107,019267;53,01;54,009267;0,504668631;0;0,151071429
RX-00035;2025-09-02 00:00:00;2025;9;Sep;T3;Sur;Pasto;Cadena de Farmacias;Farmatodo;Retail;Cardiometabólico;Insulina Glargina;Procaps;pluma;Sí;6;115,53;77,51;0,0403;7;19;0,0207;5;Baja;693,18;27,935154;665,244846;465,06;200,184846;0,300919048;0;0,406552632
RX-00036;2025-08-26 00:00:00;2025;8;Aug;T3;Centro;Bogotá;Cadena de Farmacias;Cruz Verde;Retail;Salud digestiva;Probiótico 10B;Genfar;caja;No;17;14,22;9,6;0,054;3;23;0,0196;19;Baja;241,74;13,05396;228,68604;163,2;65,48604;0,286357838;0;0,143217391
RX-00037;2025-03-19 00:00:00;2025;3;Mar;T1;Occidente;Bello;cadena de farmacias;Droguerías Colsubsidio;Retail;Vacunas;Vacuna VPH;Laboratorios MK;dosis;Sí;3;114,14;75,22;0,0702;6;17;0,0145;3;Media;342,42;24,037884;318,382116;225,66;92,722116;0,291229034;0;0,378529412
